Type,Base ICAO,Base Label,Base Notes,Call Order,Company,Operator Base,Region,24hr Phone,Backup Phone,Company Number,Additional Phones,Extra Contacts,Primary Contact,Contact Phone,Contact Email,General Email,Billing Email,Website,Pax,Cargo,Hazmat,Medivac,24hr Ops,Call-Out Time,Argus,Wyvern,Usefulness,Approval Tier,Aircraft Locations (tails @ base),Fleet Types,Priority Notes,Operator Notes
  call,KCAK,PSA - Akron-Canton,,13,"Royal Air Freight, Inc.","Detroit, MI",Midwest,,,,,Dispatch: (800) 445-9724,,(800) 445-9724,,dispatch@royalair.com,,,yes,yes,yes,no,no,,,,5,approved,"N20WK Falcon 20 @ Detroit, MI | N68UP Falcon 20 @ Detroit, MI | N166RA Falcon 20 @ Detroit, MI | N239CD Falcon 20 @ Detroit, MI | N600RA Falcon 20 @ Detroit, MI | N730RA Falcon 20 @ Detroit, MI | N760RA Falcon 20 @ Detroit, MI | N766RA Falcon 20 @ Detroit, MI | N780RA Falcon 20 @ Detroit, MI | N950RA Falcon 50 @ Detroit, MI | N850RA Falcon 50 @ Detroit, MI | N74RA King Air 200 @ Detroit, MI | N220RA King Air 200 @ Detroit, MI | N34A Embrarer Bandit @ Detroit, MI | N49RA Embrarer Bandit @ Detroit, MI | N64DA Embrarer Bandit @ Detroit, MI | N72RA Embrarer Bandit @ Detroit, MI | N73RA Embrarer Bandit @ Detroit, MI | N9RA Lear 35a @ Detroit, MI | N31RA Lear 35a @ Detroit, MI | N41RA Lear 35a @ Detroit, MI | N61RA Lear 35a @ Detroit, MI | N71RA Lear 35a @ Detroit, MI | N76RA Lear 35a @ Detroit, MI | N81RA Lear 35a @ Detroit, MI | N351AS Lear 35a @ Detroit, MI | N417BA Lear 35a @ Detroit, MI | N669RA Lear 35a @ Detroit, MI | N731RA Lear 35a @ Detroit, MI | N804TF Lear 35a @ Detroit, MI | N841TF Lear 35a @ Detroit, MI | N945W Lear 35a @ Detroit, MI | N551RA Lear 55 @ Detroit, MI | N805PC Lear 55 @ Detroit, MI | N860RA Lear 60 @ Detroit, MI",Falcon 20 | Falcon 50 | King Air 200 | Embrarer Bandit | Lear 35a | Lear 55 | Lear 60,,Absolute dickheads but great pricing however will charge like crazy + add $3k min when using them
  call,KCAK,PSA - Akron-Canton,,14,"IFL Group, Inc.","Detroit, MI",Midwest,(800) 521-4406,,,,24/7: (800) 521-4406,,(800) 521-4406,,info@IFLGroup.com,,http://iflgroup.com,no,yes,yes,no,yes,2Hrs,,,5,approved,"N481FL AMD Falcon 20 @ Detroit, MI | N511FL AMD Falcon 20 @ Detroit, MI | N521FL AMD Falcon 20 @ Detroit, MI | N531FL AMD Falcon 20 @ Detroit, MI | N541FL AMD Falcon 20 @ Detroit, MI | N581FL AMD Falcon 20 @ Detroit, MI",AMD Falcon 20,,Cargo Only
  call,KCAK,PSA - Akron-Canton,,15,PACC Air,KMSP,,,,(612) 718-2958,,,,,,,,,no,yes,no,no,yes,,,,4,approved,N310TS Cessna 310 @ KMSP | N314U Cessna 310 @ KMSP | N780SH Cessna 310 @ KMSP | N1203W Cessna 310 @ KMSP | N3397G Cessna 310 @ KMSP | N6832Y Cessna 310 @ KMSP | N75GB Cessna 402b @ KMSP | N3796C Cessna 402b @ KMSP | N6384X Cessna 402b @ KMSP | N401VA Piper Cheyenne @ KMSP | N700RD Piper Cheyenne @ KMSP,Cessna 310 | Cessna 402b | Piper Cheyenne,,"Not very friendly, Hit or miss availability"
  call,KCAK,PSA - Akron-Canton,,16,Zanesville Aviation,KZZV,,,,,,Main: 740 452-3625,,740 452-3625,,contact@zanesvilleaviation.com,,,yes,yes,no,yes,yes,,,,5,approved,(no tail) CJ1 @ KZZV | (no tail) Citation Bravo @ KZZV,CJ1 | Citation Bravo,,
  call,KCAK,PSA - Akron-Canton,,17,Kentucky Airmotive Inc.,"Louisville, KY",Southeast,,,,,Main: 859 498-1000 | Mike - Pilot: 859 585-9153,,859 498-1000,,zachary@kyairmotive.net,,http://kyairmotive.net,yes,no,no,no,no,,,,5,approved,"N16KW King Air 90 @ Louisville, KY | N61698 King Air 90 @ Louisville, KY | N7901Q Cessna 401 @ Louisville, KY | N613TA King Air 200 @ Louisville, KY | N82ER Cessna 182 @ Louisville, KY | N4861S Cessna 182 @ Louisville, KY",King Air 90 | Cessna 401 | King Air 200 | Cessna 182,,
  call,KCAK,PSA - Akron-Canton,,18,SWEET AVIATION LLC,"Indianapolis, IN",Midwest,,,,,Main: 260 267-5505 | Other: 260 409-4635,,260 267-5505,,charter@sweetaviation.com,,http://sweetaviation.com,yes,no,no,no,no,,,,5,approved,"N812SA PC-12 @ Indianapolis, IN | N813SA PC-12 @ Indianapolis, IN | N57SA SR-22 @ Indianapolis, IN | N287CJ CJ3 @ Indianapolis, IN | N855AC Citation XLS @ Indianapolis, IN | N85HA Citation XLS @ Indianapolis, IN",PC-12 | SR-22 | CJ3 | Citation XLS,,
  call,KCAK,PSA - Akron-Canton,,19,Kalitta Charters LLC,"Detroit, MI",Midwest,,,,,Main: (734) 544-3400,,(734) 544-3400,,,,http://kalittacharters.com,no,yes,yes,no,no,,,,5,approved,"N808CK Falcon 20 @ Detroit, MI | N240CK Falcon 20 @ Detroit, MI | N820CK Falcon 20 @ Detroit, MI | N192CK Falcon 20 @ Detroit, MI | N229CK Falcon 20 @ Detroit, MI | N47LP Falcon 20 @ Detroit, MI | N100AS Falcon 20 @ Detroit, MI | N244CK Falcon 20 @ Detroit, MI | N396CK Falcon 20 @ Detroit, MI | N242CK Challenger 600 @ Detroit, MI | N245CK Challenger 600 @ Detroit, MI | N76CK Lear 35a @ Detroit, MI | N355CK Lear 35a @ Detroit, MI | N913CK Lear 35a @ Detroit, MI | N35WL Lear 35a @ Detroit, MI | N73CK Lear 35a @ Detroit, MI | N163CK Lear 35a @ Detroit, MI | N217CK Lear 35a @ Detroit, MI | N237CK Lear 35a @ Detroit, MI | N295CK Lear 35a @ Detroit, MI | N298CK Lear 35a @ Detroit, MI | N325NW Lear 35a @ Detroit, MI | N352CK Lear 35a @ Detroit, MI | N353CK Lear 35a @ Detroit, MI | N357CK Lear 35a @ Detroit, MI | N431CK Lear 35a @ Detroit, MI | N824CK Lear 35a @ Detroit, MI | N870CK Lear 35a @ Detroit, MI | N905CK Lear 35a @ Detroit, MI | N71CK Lear 35a @ Detroit, MI | N45KX Lear 45 @ Detroit, MI | N273LP Lear 45 @ Detroit, MI | N451CK Lear 45 @ Detroit, MI | N452CK Lear 45 @ Detroit, MI | N453CK Lear 45 @ Detroit, MI | N881MJ Lear 45 @ Detroit, MI",Falcon 20 | Challenger 600 | Lear 35a | Lear 45,,
  call,KCAK,PSA - Akron-Canton,,20,"Ameristar Jet Charter, Inc.",KYIP,South Central,(972) 248-2478,,,,24/7: (972) 248-2478,,(972) 248-2478,,QUOTES@AMERISTARJET.COM,,http://ameristarjet.com,yes,yes,yes,no,yes,1.5-2Hrs,,,5,approved,N148TW Falcon 20 @ KYIP | N158TW Falcon 20 @ KYIP | N699TW Falcon 20 @ KYIP | N204TW Falcon 20 @ KYIP | N221TW Falcon 20 @ KYIP | N285TW Falcon 20 @ KYIP | N314TW Falcon 20 @ KYIP,Falcon 20,,Got the big DC9s - best for super large cargo
  call,KCAK,PSA - Akron-Canton,,21,Ameriflight,KDFW,,,,,,Backup Number: 512-417-3045 | Main Number: 972-426-3075,,512-417-3045,,amfcharter@ameriflight.com,,,no,yes,yes,no,no,2Hrs,,,7,approved,N189WA Beech 99 @ KDFW | N191WA Beech 99 @ KDFW | N802BA Beech 99 @ KDFW | N20FW Beech 99 @ KDFW | N21FW Beech 99 @ KDFW | N34AK Beech 99 @ KDFW | N1924T Beech 99 @ KDFW | N7862R Beech 99 @ KDFW | N192WA Beech 99 @ KDFW | N197WA Beech 99 @ KDFW | N4299A Beech 99 @ KDFW | N51RP Beech 99 @ KDFW | N52RP Beech 99 @ KDFW | N68TA Beech 99 @ KDFW | N96AV Beech 99 @ KDFW | N104BE Beech 99 @ KDFW | N106SX Beech 99 @ KDFW | N108SX Beech 99 @ KDFW | N131GP Beech 99 @ KDFW | N174AV Beech 99 @ KDFW | N190WA Beech 99 @ KDFW | N191AV Beech 99 @ KDFW | N193SU Beech 99 @ KDFW | N196WA Beech 99 @ KDFW | N204AF Beech 99 @ KDFW | N206AV Beech 99 @ KDFW | N221BH Beech 99 @ KDFW | N223BH Beech 99 @ KDFW | N225BH Beech 99 @ KDFW | N226BH Beech 99 @ KDFW | N227AV Beech 99 @ KDFW | N228BH Beech 99 @ KDFW | N230BH Beech 99 @ KDFW | N330AV Beech 99 @ KDFW | N388AV Beech 99 @ KDFW | N990AF Beech 99 @ KDFW | N991AF Beech 99 @ KDFW | N992AF Beech 99 @ KDFW | N997SB Beech 99 @ KDFW | N6724D Beech 99 @ KDFW | N7209W Beech 99 @ KDFW | N8226Z Beech 99 @ KDFW | N8227P Beech 99 @ KDFW | N62989 Beech 99 @ KDFW | N63978 Beech 99 @ KDFW | N81820 Beech 99 @ KDFW | N354AE Metroliner @ KDFW | N360AE Metroliner @ KDFW | N370AE Metroliner @ KDFW | N421MA Metroliner @ KDFW | N422MA Metroliner @ KDFW | N424MA Metroliner @ KDFW | N428MA Metroliner @ KDFW | N671AV Metroliner @ KDFW | N672AV Metroliner @ KDFW | N673AV Metroliner @ KDFW | N709TR Metroliner @ KDFW | N801AF Metroliner @ KDFW | N240DH Metroliner @ KDFW | N241DH Metroliner @ KDFW | N244DH Metroliner @ KDFW | N245DH Metroliner @ KDFW | N246DH Metroliner @ KDFW | N248DH Metroliner @ KDFW | N249DH Metroliner @ KDFW | N544UP Metroliner @ KDFW | N560UP Metroliner @ KDFW | N561UP Metroliner @ KDFW | N573G Metroliner @ KDFW | N807M Metroliner @ KDFW | N19RZ Beech 1900 @ KDFW | N21RZ Beech 1900 @ KDFW | N26RZ Beech 1900 @ KDFW | N34RZ Beech 1900 @ KDFW | N39UB Beech 1900 @ KDFW | N49UC Beech 1900 @ KDFW | N111YV Beech 1900 @ KDFW | N112YV Beech 1900 @ KDFW | N330AF Beech 1900 @ KDFW | N331AF Beech 1900 @ KDFW | N338AF Beech 1900 @ KDFW | N346AF Beech 1900 @ KDFW | N347AF Beech 1900 @ KDFW | N575G Beech 1900 @ KDFW | N718AF Beech 1900 @ KDFW | N1568G Beech 1900 @ KDFW | N2049K Beech 1900 @ KDFW | N3052K Beech 1900 @ KDFW | N3071A Beech 1900 @ KDFW | N3229A Beech 1900 @ KDFW | N7203C Beech 1900 @ KDFW | N31701 Beech 1900 @ KDFW | N31702 Beech 1900 @ KDFW | N31703 Beech 1900 @ KDFW | N31704 Beech 1900 @ KDFW | N31705 Beech 1900 @ KDFW | N219KA SAAB 340 @ KDFW | N968AF SAAB 340 @ KDFW | N985ES SAAB 340 @ KDFW | N989AF SAAB 340 @ KDFW | N179CA Emb. Brasilia @ KDFW | N189CA Emb. Brasilia @ KDFW | N246AS Emb. Brasilia @ KDFW | N257AS Emb. Brasilia @ KDFW | N258AS Emb. Brasilia @ KDFW | N266AS Emb. Brasilia @ KDFW | N560SW Emb. Brasilia @ KDFW | N566SW Emb. Brasilia @ KDFW | N567SW Emb. Brasilia @ KDFW | N578SW Emb. Brasilia @ KDFW,Beech 99 | Metroliner | Beech 1900 | SAAB 340 | Emb. Brasilia,,24/7 Midsize Aircraft ASAP Cargo

BASE,KCLT,PSA - Charlotte,
  call,KCLT,PSA - Charlotte,,1,EXECUTIVE SHUTTLE,KGRD,,(814) 571-1420,,,,24/7: (814) 571-1420 | Main: 864-910-2944,,(814) 571-1420,,trammellrichard@yahoo.com,,,yes,yes,yes,yes,yes,2 Hrs,,,8,approved,N643EA King Air 90 @ KGRD,King Air 90,,"Rick the goat
"
  call,KCLT,PSA - Charlotte,,2,Axio,KSPA,,,,,,Main/Texting: (864) 397-5082 | Dispatch - Matt: (864) 608-0141 | Dispatch - Sam: (336) 602-5126 | Dispatch - Zach: (772) 258-0209,,(864) 397-5082,,sales@flyaxio.com,,,yes,yes,yes,yes,yes,2,,,9,approved,N533CP SR-22 @ KSPA | N606MF SR-22 @ KSPA | N369AX Phenom 100 @ KSPA | N283MA Baron 58 @ KSPA | N707PW Baron 58 @ KSPA | N758CA Baron 58 @ KSPA | N4380W Baron 58 @ KSPA | N6725T Baron 58 @ KSPA | N789CT King Air 200 @ KSPA | N34LT King Air 200 @ KSPA | N989LA King Air 200 @ KSPA,SR-22 | Phenom 100 | Baron 58 | King Air 200,,
  call,KCLT,PSA - Charlotte,,3,Clemson Air Charter,KAND,,1 (864) 276-7047,,,,24/7: 1 (864) 276-7047,,1 (864) 276-7047,,clemsonaircharter@gmail.com,,,yes,yes,no,yes,yes,2Hrs,,,8,approved,N686FR Baron 58 @ KAND | N1065B Baron 58 @ KAND,Baron 58,,John - Can text him as well
  call,KCLT,PSA - Charlotte,,4,FLIGHT CHOICE,KTYS,,,,,,Main: 865-313-5296,,865-313-5296,,charters@flightchoiceinc.com,,,no,no,no,no,no,,,,5,approved,N436AT Baron 58 @ KTYS | N584PC Baron 58 @ KTYS | N6211J King Air 90 @ KTYS | N7206E King Air 90 @ KTYS | N250XX King Air 200 @ KTYS,Baron 58 | King Air 90 | King Air 200,,
  call,KCLT,PSA - Charlotte,,5,AUGUSTA AVIATION INC,KDNL,Southeast,(704) 289-6868,,,,24/7: (704) 289-6868,,(704) 289-6868,,charter@augustaaviation.com,,,yes,yes,yes,no,yes,2Hrs,,,6,approved,N8GU Beechcraft King Air C90A @ KDNL | N329GS Beechcraft King Air C90A @ KDNL | N377P Beechcraft King Air C90A @ KDNL | N891AA Beechcraft King Air C90A @ KDNL,Beechcraft King Air C90A,,"Rosie, Angie, Etc"
  call,KCLT,PSA - Charlotte,,6,Capital Air Charter,KFFC,,470-215-6116,,,,24/7: 470-215-6116,,470-215-6116,,rebecca@capitalairexpress.com,,,yes,yes,no,no,yes,2 Hrs,,,5,none,N46MB Piper Malibu @ KFFC | N550JK Piper Malibu @ KFFC | N744DD Piper Malibu @ KFFC | N43100 Piper Malibu @ KFFC | N133KB Piper Malibu @ KFFC | PA-32R-301T Piper Saratoga @ KFFC | TAIL Piper Navajo @ KFFC | # Piper Navajo @ KFFC | TBD Piper Navajo @ KFFC,Piper Malibu | Piper Saratoga | Piper Navajo,,Navajo and mainly Single Engines
  call,KCLT,PSA - Charlotte,,7,Atlanta Air Charter,KRYY,,770 419-2001,,,,24/7: 770 419-2001,,770 419-2001,,charter@atlantaaircarter.com,,,yes,yes,yes,yes,yes,2Hrs,,,5,approved,N143DE King Air 200 @ KRYY | N383JP King Air 200 @ KRYY | N700NA King Air 200 @ KRYY | N717VA King Air 200 @ KRYY,King Air 200,,"Does the work for Delta, Expensive"
  call,KCLT,PSA - Charlotte,,8,LOWE AVIATION CO - Ed Lowe,KMCN,Southeast,(478) 731-5862,,,,24/7 - Cell: (478) 731-5862 | Main: (478) 788-3491,,(478) 731-5862,,edward@loweaviation.com,,http://loweaviation.com,yes,yes,yes,yes,yes,2 Hrs,,,6,approved,N83KK Baron 58 @ KMCN | N1103G King Air 90 @ KMCN,Baron 58 | King Air 90,,

BASE,KCVG,PSA - Cincinnati,
  call,KCVG,PSA - Cincinnati,,1,"Sonrise Aviation, LLC",KPLD,,(260) 766-4548,,(260) 766-4548,,24/7 Dispatch: (260) 766-4548 | Text Number: (260) 726-5029 | Owner - Hal: (260) 729-1577 | Pilot - Casey: (567) 644-8015 | Pilot - Jake Hodory: (815) 245-7708 | Pilot - Joey: (765) 271-8410 | Pilot - Payton McCoy: (765) 215-5307 | Pilot - Samuel: (937) 621-3332,,,,sonriseaviation@outlook.com,,,yes,yes,yes,yes,yes,1.5Hrs,,,10,approved,N98DM Cessna 310 @ KPLD | N2738B Cessna 310 @ KPLD | N3284M Cessna 310 @ KPLD | N4258C Cessna 310 @ KPLD | N80BS Cessna 404 @ KPLD | N103RC Cessna 404 @ KPLD,Cessna 310 | Cessna 404,,"Matt and Amy are dispatch - easy to work with good emergency contacts - 404's do big stuff pretty well, 310's have range"
  call,KCVG,PSA - Cincinnati,,2,Miller Aviation,KHHG,,(260)827-8267,,(260) 726-4901,,24/7: (260) 726-4901 | Scott - Owner/Dispatcher/Pilot: (765) 418-3933 | Carrie - Dispatch: (260) 827-8267 | Pilot - Braxton: (765) 667-9810 | Pilot - Michael: (901) 288-6531 | Pilot - Thomas: (918) 782-7655 | Pilot - Tim: (260) 504-8185,,,,carriem@patriot-aviation.com,,,yes,yes,yes,yes,yes,1.5Hrs,,,9,approved,N5336C Cessna 310 @ KHHG | N6209X Cessna 310 @ KHHG,Cessna 310,,Carrie and Scott handle dispatch - great to work with
  call,KCVG,PSA - Cincinnati,,3,FedAir (Mario),KHFY,,(252) 349-5657,,,,24/7 - Mario/Pilot: (252) 349-5657,,(252) 349-5657,,mario@fedaircharter.com,,,yes,yes,yes,yes,yes,2Hrs,,,7,approved,,Cheyenne,,MARIO Always Expensive but reliable and quick! Great Operator
  call,KCVG,PSA - Cincinnati,,4,Castle Aviation,KCAK,,(800) 325-4703 Ext 1,,(800) 325-4703 Ext 1,,24/7: (800) 325-4703 Ext 1,,,,fltops@castleair.com,,,yes,yes,yes,yes,yes,2Hrs,,,8,approved,N49MG Aerostar @ KCAK | N52MG Aerostar @ KCAK | N92MG Aerostar @ KCAK | N1058N Cessna Caravan @ KCAK | N27MG Cessna Caravan @ KCAK | N805TH Cessna Caravan @ KCAK | N1086F Cessna Caravan @ KCAK | N1116W Cessna Caravan @ KCAK | N9612B Cessna Caravan @ KCAK | N253AE SAAB 340 @ KCAK | N336SA SAAB 340 @ KCAK | N431BC SAAB 340 @ KCAK,Aerostar | Cessna Caravan | SAAB 340,,"NEED PAX Weight, DOB, and Names every flight (Request from client Immediately)"
  call,KCVG,PSA - Cincinnati,,5,AIR Z FLYING SERVICE (Larry),KCGF,,440-725-3043,,440-725-3043,,24/7 - Larry: 440 725-3043 | Pilot - Mike: 216 256-4609 | Lisa (Larry's Wife): 712 490-2994,,,,admin@tandgflying.com,,,yes,yes,yes,yes,yes,2Hrs,,,9,approved,N1908G C310 @ KCGF | N3938G C340 @ KCGF | N8188J Saratoga @ KCGF,C310 | C340 | Saratoga,,We try to avoid using him and night time requires two pilots for us with them
  call,KCVG,PSA - Cincinnati,,6,Trans North Aviation,KAID,,,,,,Derek - Owner: 937 823-7423 | Other Dispatch Line: 800-735-8190,,937 823-7423,,dereck.pristas@transnorthaviation.com,,,yes,yes,yes,yes,no,,,,8,approved,N742LG SR-22 @ KAID | N907DK Cessna Citation @ KAID | N1327J Cessna Citation @ KAID | N89TB Lear 35a @ KAID,SR-22 | Cessna Citation | Lear 35a,,These guys are down to get shit done
  call,KCVG,PSA - Cincinnati,,7,Zanesville Aviation,KZZV,,,,,,Main: 740 452-3625,,740 452-3625,,contact@zanesvilleaviation.com,,,yes,yes,no,yes,yes,,,,5,approved,(no tail) CJ1 @ KZZV | (no tail) Citation Bravo @ KZZV,CJ1 | Citation Bravo,,
  call,KCVG,PSA - Cincinnati,,8,AERY AVIATION LLC,KCLE,Southeast,(833) 240-9007,,,,24/7 Dispatch: (833) 240-9007,,(833) 240-9007,,Aerydispatch@aeryaviation.com,,https://aeryaviation.com/,yes,no,no,yes,yes,,,,5,approved,N340SR Lear 45 @ KCLE | N632JS Lear 45 @ KCLE | N972PF Hawker @ KCLE | N331SB Cirrus Vision SF50 @ KCLE,Lear 45 | Hawker | Cirrus Vision SF50,,Expensive but does a lot f medivac for cleveland clinic
