operator,tail_number,aircraft_type,category,engines,cargo_pax,seats,base_icao,crew,cruise_kts,range_nm,max_payload_lbs,mtow_lbs,fet_status,door_type,door_w_in,door_h_in,cabin_l_ft,cabin_w_ft,cabin_h_ft,cabin_vol_cuft,trips_logged,avg_op_per_nm_circuit,med_assumed_op_per_nm,est_op_per_hr,liability_limit,hull_value,notes,spec_source
Ameriflight,N223BH,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N225BH,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N226BH,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N227AV,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N228BH,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N230BH,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N330AV,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N388AV,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N990AF,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N991AF,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N992AF,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N997SB,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N6724D,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N7209W,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N8226Z,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N8227P,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N62989,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N63978,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N81820,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N354AE,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N360AE,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N370AE,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N421MA,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N422MA,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N424MA,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N428MA,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N671AV,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N672AV,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N673AV,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N709TR,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N801AF,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N240DH,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N241DH,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N244DH,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N245DH,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N246DH,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N248DH,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N249DH,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N544UP,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N560UP,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N561UP,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N573G,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N807M,Metroliner,Turboprop,Multi Turboprop,Cargo,,,,245,1200,4700,14500,FET applies,Airstair + cargo door,51,53,25.8,5.2,4.8,470,,,,,,,,published typical config — verify per tail
Ameriflight,N19RZ,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N21RZ,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N26RZ,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N34RZ,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
Ameriflight,N39UB,Beech 1900,Turboprop,Multi Turboprop,Cargo,,,,270,1200,5500,16600,FET applies,Airstair + cargo door,52,58,25.3,4.5,5.9,470,,,,,,,,published typical config — verify per tail
